Name;Class;Type;Range;Damage;Attacks;Dmg/sec;Decay;Ammo;Cost;Max.TT;Markup;Dmg/PEC;Efficiency;SIB;Source;Personal effects
0x0F382C8C91E58C8B24DF;Pistol;Plasma;53.9;134;33;51.2;8.121;2438;32.501;320.00;20004.00 PED;2.865;56.0;Yes;Looted; 
0x0F382C8C91E58C82AA7 (L);Pistol;Plasma;66.0;75;24;20.9;4.551;1364;18.191;94.00; ;2.865;56.0;Yes;Crafted; 
0x0F382C8C91E58C8273C0 (L);Pistol;Plasma;48.4;97;26;29.2;5.111;1764;22.751;122.00; ;2.963;56.0;Yes;Crafted; 
0x0F382C8C91E58C8460 (L);Pistol;Plasma;55.0;40;23;10.7;2.421;728;9.701;47.00;109.33%;2.866;56.0;Yes;Looted; 
1 Star Stunna;Rifle;BLP;22.0;22;83;21.2;2.800;255;5.350;10.00; ;2.858;55.4;Yes;HUB Alpha;Deceleration 100% duration 0.2 s
2.H.T.S. FlameThrower (L);Flamethrower;BLP;16.5;30;67;23.3;0.030;723;7.260;1.50;1400.00%;2.872;56.5;Yes;Terminal; 
2.H.T.S. Scorpion (L);Pistol;Laser;36.3;30;67;23.3;0.030;723;7.260;1.50;2250.00%;2.872;56.5;Yes;Terminal; 
2.H.T.S. Shotgun (L);Rifle;BLP;22.0;30;67;23.3;0.030;723;7.260;1.50;2150.00%;2.872;56.5;Yes;Terminal; 
2 Star Stunna;Rifle;BLP;22.0;22;83;21.2;2.800;255;5.350;10.00; ;2.858;55.4;Yes;HUB Alpha;Deceleration 100% duration 0.2 s
3 Star Stunna;Rifle;BLP;22.0;22;83;21.2;2.800;255;5.350;10.00; ;2.858;55.4;Yes;HUB Alpha;Deceleration 100% duration 0.3 s
4 Star Stunna;Rifle;BLP;22.0;22;83;21.2;2.800;255;5.350;10.00; ;2.858;55.4;Yes;HUB Alpha;Deceleration 100% duration 0.3 s
5 Star Stunna;Rifle;BLP;22.0;22;83;21.2;2.800;255;5.350;10.00; ;2.858;55.4;Yes;HUB Alpha;Deceleration 100% duration 0.3 s
A-3 Justifier Mk. 1;Carbine;Laser;71.5;36;40;16.7;0.890;800;8.890;78.00;150.00 PED;2.814;52.3;No;Looted; 
A-3 Justifier Mk. 1, Ancient;Carbine;Laser;99.0;36;40;16.7;0.890;800;8.890;78.00; ;2.814;52.3;No;Pregold; 
A-3 Justifier Mk. 2;Carbine;Laser;71.5;43;40;19.9;0.460;1000;10.460;85.00;125.00 PED;2.857;55.4;No;Looted; 
A-3 Justifier Mk. 2, Adjusted;Carbine;Laser;77.0;43;44;21.9;0.396;1000;10.396;85.00; ;2.875;56.7;Yes;Mission; 
A-3 Justifier Mk. 2, Ancient;Carbine;Laser;110.0;43;40;19.9;0.460;1000;10.460;85.00; ;2.857;55.4;No;Pregold; 
A-3 Justifier Mk. 2, Ancient, Improved;Carbine;Laser;160.0;72;67;55.9;0.250;1500;15.250;1000.00;200000.00 PED;3.281;90.5;No;Pregold; 
A-3 Justifier Mk. 2, Improved;Carbine;Laser;104.5;72;60;50.0;0.255;1500;15.255;1000.00;130000.00 PED;3.280;90.4;No;Looted; 
A-3 Justifier Mk. 2, Improved, SGA Edition;Carbine;Laser;106.7;73;60;50.7;0.879;1500;15.879;1000.00; ;3.195;82.7;No;Looted; 
A-3 Justifier Mk. 2, Improved, TWEN Edition;Rifle;Laser;104.5;72;67;55.9;0.229;1350;13.729;1000.00; ;3.645;95.0;Yes;Looted; 
A-3 Justifier Mk. 2, Modified;Carbine;Laser;110.0;88;63;64.2;2.200;1800;20.200;3996.00; ;3.028;68.5;No;Looted; 
A-3 Justifier Mk. 2, SGA Edition;Carbine;Laser;71.5;45;41;21.4;0.947;1000;10.947;85.00;150.00 PED;2.857;55.4;No;Looted; 
A-3 Justifier Mk. 2, TWEN Edition;Carbine;Laser;71.5;43;44;21.9;0.414;900;9.414;85.00; ;3.175;75.4;Yes;Looted; 
A-3 Justifier Mk. 3;Carbine;Laser;71.5;49;43;24.4;0.850;1100;11.850;108.00;286.42 PED;2.874;56.6;No;Looted; 
A-3 Justifier Mk. 3, Improved;Carbine;Laser;113.0;80;63;58.4;2.360;1600;18.360;1340.00; ;3.028;68.7;No;Looted; 
A-3 Justifier Mk. 4;Carbine;Laser;55.0;63;40;29.2;1.220;1400;15.220;145.00;1100.00 PED;2.877;56.8;No;Looted; 
A-3 Justifier Mk. 5;Carbine;Laser;82.5;59;52;35.5;1.250;1300;14.250;165.00;1899.41 PED;2.878;56.9;No;Looted; 
A-3 Justifier Mk. 5, Adjusted;Carbine;Laser;88.0;61;57;40.3;1.560;1300;14.560;670.00; ;2.912;59.4;No;Looted; 
A-3 Justifier Mk. 5, Ancient, Adjusted;Carbine;Laser;88.0;61;57;40.3;1.310;1300;14.310;670.00; ;2.963;63.3;No;Pregold; 
A-3 Justifier Mk. 5, Mentor Edition;Carbine;Laser;88.0;63;54;39.4;1.360;1300;14.360;165.00;6000.00 PED;3.049;70.2;No;Mentoring; 
A-3 Punisher Mk. 1;Carbine;Laser;77.0;21;32;7.8;0.290;500;5.290;30.00;19.12 PED;2.759;49.2;No;Looted; 
A-3 Punisher Mk. 1, Ancient;Carbine;Laser;88.0;21;32;7.8; ;500; ;30.00; ; ;49.2;No;Pregold; 
A-3 Punisher Mk. 2;Carbine;Laser;77.0;26;33;9.9;0.480;600;6.480;30.00;27.12 PED;2.789;50.2;No;Looted; 
A-3 Punisher Mk. 2, SGA Edition;Carbine;Laser;77.0;28;33;10.7;0.490;600;6.490;30.00;499.00 PED;2.998;66.1;No;Looted; 
A&P Series Brave;Carbine;Laser;66.0;16;27;5.0;0.060;400;4.060;23.00; ;2.739;47.1;No;Looted; 
A&P Series Brave, Ancient;Carbine;Laser;88.0;16;27;5.0; ;400; ;23.00; ; ;47.1;No;Pregold; 
A&P Series Brave, Mentor Edition;Carbine;Laser;77.0;18;30;6.3;0.300;400;4.300;23.00; ;2.909;59.2;No;Mentoring; 
A&P Series Freedom;Carbine;Laser;66.0;34;35;13.8;0.440;800;8.440;59.00; ;2.800;51.3;No;Looted; 
A&P Series Hero;Carbine;Laser;66.0;30;35;12.2;0.500;700;7.500;45.00; ;2.780;50.7;No;Looted; 
