Name;Class;Type;Range;Damage;Attacks;Dmg/sec;Decay;Ammo;Cost;Max.TT;Markup;Dmg/PEC;Efficiency;SIB;Source;Personal effects
Fenris Sniper Rifle (L);Rifle;BLP;110.0;140;13;21.1; ;3300; ;5.00; ; ;53.3;No; ;Deceleration 30% duration 4 s
Fire Forge ARR 8000;Rifle;Laser;130.0;66;24;18.3;1.060;1500;16.060;116.00; ;2.856;55.3;No;Looted; 
Fire Forge ARR 8000, Ancient;Rifle;Laser;160.0;66;24;18.3;1.060;1500;16.060;116.00; ;2.856;55.3;No;Pregold; 
Fire Forge ARR 8000, Ancient, Improved;Rifle;Laser;190.0;92;30;32.0;0.350;2100;21.350;500.00; ;2.995;65.8;No;Pregold; 
Fire Forge ARR 8000, Improved;Rifle;Laser;145.0;92;30;32.0;0.351;2100;21.351;500.00;5000.00 PED;2.995;65.8;No;Looted; 
Fire Forge ARR 8000, SGA Edition;Rifle;Laser;130.0;69;24;19.2;1.790;1500;16.790;116.00; ;2.856;55.3;No;Looted; 
Fire Forge ARR 8000M;Rifle;Laser;135.0;71;24;19.7;1.200;1600;17.200;123.00; ;2.869;56.2;No;Looted; 
Fire Forge ARR 8000M, Ancient;Rifle;Laser;185.0;71;24;19.7;1.200;1600;17.200;123.00; ;2.869;56.2;No;Pregold; 
Fire Forge BGH 4400;Rifle;Laser;120.0;53;21;12.9;1.030;1200;13.030;95.00; ;2.827;53.7;No;Looted; 
Fire Forge BGH 4400, Ancient;Rifle;Laser;160.0;53;21;12.9;1.030;1200;13.030;95.00; ;2.827;53.7;No;Pregold; 
Fire Forge BGH 4400M;Rifle;Laser;125.0;61;21;14.8;0.800;1400;14.800;115.00; ;2.865;55.1;No;Looted; 
Fire Forge BGH 4400M, Ancient;Rifle;Laser;130.0;61;21;14.8;0.800;1400;14.800;112.00; ;2.865;55.1;No;Pregold; 
Fire Forge BGH 4400M, Modified;Rifle;Laser;150.0;129;25;37.4;1.250;2800;29.250;10000.00; ;3.065;71.5;No;Looted; 
Fire Forge DAR 9300;Rifle;Laser;135.0;76;29;25.5;1.350;1700;18.350;134.00;8750.00 PED;2.878;56.9;No;Looted; 
Fire Forge DAR 9300, Modified;Rifle;Laser;155.0;155;35;62.8;17.000;2000;37.000;15000.00; ;2.911;59.4;No;Looted; 
Fire Forge DAR 9300, SGA Edition;Rifle;Laser;135.0;78;30;27.1;1.833;1700;18.833;134.00; ;2.878;56.9;No;Looted; 
Fire Forge DAR 9300, TWEN Edition;Rifle;Laser;135.0;76;32;28.2;1.215;1530;16.515;134.00; ;3.198;76.9;Yes;Event; 
Fireforge FF39 (L);Carbine;Laser;64.9;89;42;43.3; ;1800; ;230.00; ; ; ;Yes;Crafted; 
Fireforge FF43 (L);Carbine;Laser;68.2;89;45;46.4;3.430;1800;21.430;240.00;0.00%;2.886;57.5;Yes;Crafted; 
Fireforge FF53E (L);Carbine;Laser;70.4;124;37;53.1;4.900;2510;30.000;268.00;133.00%;2.873;56.5;Yes;Crafted; 
Fireforge FF61 (L);Carbine;Laser;62.7;110;45;57.3; ;2220; ;278.00; ; ; ;Yes;Crafted; 
Fireforge FF66 (L);Carbine;Laser; ;104;50;60.2; ; ; ;302.00; ; ; ;Yes;Crafted; 
Fireforge FF76 (L);Carbine;Laser; ;135;42;65.7; ; ; ;360.00; ; ; ;Yes;Crafted; 
Fire Forge RAR 9900, Mentor Edition;Rifle;Laser;140.0;98;24;27.2;6.000;2000;26.000;168.00; ;2.620;43.3;No;Mentoring; 
Fire Forge SGH 2200;Rifle;Laser;120.0;38;21;9.2;0.600;900;9.600;75.00; ;2.751;47.9;No;Looted; 
Fire Forge SGH 2200, Ancient;Rifle;Laser;120.0;38;21;9.2; ;900; ;75.00; ; ;47.9;No;Pregold; 
Fire Forge SGH 2200, Mentor Edition;Rifle;Laser;116.0;42;22;10.7;1.370;900;10.370;75.00; ;2.815;49.9;No;Mentoring; 
Fire Forge SGH 2200M;Rifle;Laser;115.0;43;20;10.0;0.680;1000;10.680;80.00; ;2.798;51.2;No;Looted; 
Fire Forge SGH 2200M, Ancient;Rifle;Laser;130.0;43;20;10.0; ;1000; ;80.00; ; ;51.2;No;Pregold; 
Fire Of Hel (L);Mounted;BLP;170.0;149;46.15;79.7;0.000;3659;36.590;30.00; ;2.830;53.4;Yes;Crafted; 
Fire Sword (L);Melee;Longblades;12.0;73;44;37.2; ;0; ;628.00; ; ;59.8;Yes;Looted; 
Flamethrower (FA) (L);Flamethrower;BLP;27.5;20;61;14.1; ;385; ;0.50; ; ;56.0;No;Mission; 
Force Mace Assail;Melee;Clubs;5.0;37;34;14.6;9.062;0;9.062;2576.00;1200.00 PED;2.838;54.0;Yes;Crafted; 
Force Mace Assail (L);Melee;Clubs;5.0;37;34;14.6;9.000;0;9.000;182.00; ;2.857;57.0;Yes;Crafted; 
Force Mace Attack (L);Melee;Clubs;6.0;89;42;43.3; ;0; ;563.00; ; ; ;Yes;Looted; 
Force Mace Basher;Melee;Clubs;5.0;49;39;22.1;11.814;0;11.814;4952.00;40000.00 PED;2.883;57.2;Yes;Crafted; 
Force Mace Basher (L);Melee;Clubs;5.0;49;39;22.1;11.600;0;11.600;204.00; ;2.936;60.4;Yes;Crafted; 
Force Mace Basher, Adapted (L);Melee;Clubs;7.0;69;54;43.2;16.630;0;16.630;1012.00; ;2.884;57.3;Yes;Crafted; 
Force Mace Clobber;Melee;Clubs;5.0;61;42;29.7;14.674;0;14.674;5744.00; ;2.889;57.7;Yes;Crafted; 
Force Mace Clobber (L);Melee;Clubs;5.0;61;42;29.7;14.462;0;14.462;267.00; ;2.931;60.9;Yes;Crafted; 
Forest Sword (L);Melee;Longblades; ; ; ; ; ; ; ; ; ; ; ; ;Looted; 
FreanD Alpha BLP Pistol;Pistol;BLP;33.0;16;35;6.5;0.060;400;4.060;27.00; ;2.739;47.1;No;Looted; 
FreanD Alpha BLP Pistol, Mentor Edition;Pistol;BLP;38.5;17;39;7.7;0.200;400;4.200;27.00; ;2.813;52.2;No;Mentoring; 
FreanD Alpha BLP Pistol, SGA Edition;Pistol;BLP;44.0;19;35;7.7;0.821;400;4.821;27.00; ;2.739;47.1;No;Looted; 
FreanD Beta BLP Pistol;Pistol;BLP;33.0;24;35;9.7;2.050;400;6.050;87.00; ;2.757;48.3;No;Looted; 
FreanD Beta BLP Pistol, SGA Edition;Pistol;BLP;36.3;26;35;10.5;2.554;400;6.554;87.00; ;2.757;48.3;No;Looted; 
FreanD Delta BLP Pistol;Pistol;BLP;33.0;44;67;34.1;3.500;700;10.500;145.00; ;2.912;59.5;No;Looted; 
FreanD Delta BLP Pistol, SGA Edition;Pistol;BLP;33.0;47;67;36.5;4.217;700;11.217;145.00; ;2.912;59.4;No;Looted; 
FreanD Epsilon BLP Pistol;Pistol;BLP;29.7;49;68;38.6;4.320;800;12.320;157.00; ;2.764;48.8;No;Looted; 
FreanD Gamma BLP Pistol;Pistol;BLP;33.0;31;46;16.5;2.700;500;7.700;101.00; ;2.798;51.9;No;Looted; 
FreanD Gamma BLP Pistol, SGA Edition;Pistol;BLP;39.6;33;46;17.6; ;500; ;101.00; ; ;51.9;No;Looted; 
Functional Slicer (L);Melee;Longblades;7.0;17;44;8.7;4.100;0;4.100;8.00;250.00%;2.882;56.8;Yes;Crafted; 
Fusil Arabesque;Carbine;Laser;66.0;49;42;23.8;1.500;1100;12.500;132.00; ;2.724;46.1;No;Crafted; 
Fusil Charade;Carbine;Laser;71.5;51;41;24.2;1.800;1100;12.800;164.00; ;2.769;49.2;No;Crafted; 
Garys Pistol MK I (L);Pistol;Laser;17.8;102;51;60.3; ;2284; ;224.00; ; ;49.5;Yes;Looted; 
Genesis ArcSpark;Melee;Shortblades;5.0;59;70;47.8;14.160;0;14.160;1486.00;15000.00 PED;2.896;58.2;Yes;Looted; 
Genesis ArcSpark (L);Melee;Shortblades;5.0;59;70;47.8;14.160;0;14.160;186.00;103.00%;2.896;58.2;Yes;Looted; 
Genesis Bifrost;Melee;Shortblades;4.0;115;49;65.3;27.661;0;27.661;23168.00; ;2.889;57.7;Yes;Looted; 
Genesis Bifrost (L);Melee;Shortblades;4.0;115;49;65.3; ;0; ;274.00; ; ;60.4;Yes;Looted; 
Genesis Blizzard (L);Melee;Longblades;7.0;148;30;51.4;35.330;0;35.330;290.00; ;2.911;59.4;Yes;Looted; 
Genesis Corroder (L);Melee;Shortblades;5.0;57;67;44.2;13.700;0;13.700;159.00; ;2.892;57.9;Yes;Looted; 
Genesis Corroder, MM Edition (L);Melee;Shortblades;5.0;57;67;44.2;0.009;1369;13.699;1.00; ;2.892;57.9;Yes;Looted; 
Genesis Dragons Breath;Melee;Longblades;5.0;121;34;47.7;29.052;0;29.052;13664.00; ;2.895;58.1;Yes;Looted; 
Genesis Dragons Breath (L);Melee;Longblades;5.0;121;34;47.7;28.675;0;28.675;287.00; ;2.933;61.0;Yes;Looted; 
Genesis Firefly;Melee;Shortblades;4.0;90;45;46.9;21.676;0;21.676;13664.00; ;2.886;57.5;Yes;Looted; 
Genesis Firefly (L);Melee;Shortblades;4.0;90;45;46.9;21.700;0;21.700;214.00;101.00%;2.882;60.1;Yes;Looted; 
Genesis Flash-Freeze (L);Melee;Longblades;7.0;199;29;66.8;46.900;0;46.900;405.00; ;2.949;62.2;Yes;Looted; 
Genesis Formacida (L);Melee;Longblades;7.0;203;25;58.8;48.180;0;48.180;360.00; ;2.928;60.7;Yes;Looted; 
Genesis Globstrosity (L);Melee;Longblades;7.0;228;24;63.4;53.880;0;53.880;400.00; ;2.941;61.6;Yes;Looted; 
Genesis High-Tension Resolver;Melee;Shortblades;4.0;108;48;60.0;26.024;0;26.024;20000.00; ;2.884;57.4;Yes;Looted; 
Genesis High-Tension Resolver (L);Melee;Shortblades;4.0;108;48;60.0;25.712;0;25.712;258.00; ;2.919;60.0;Yes;Looted; 
Genesis Icerage (L);Melee;Longblades;7.0;106;30;36.8;25.500;0;25.500;192.00; ;2.889;57.7;Yes;Looted; 
Genesis Icerage, E.L.M Edition (L);Melee;Longblades;7.0;106;30;36.8;0.011;2548;25.491;1.00;3100.00%;2.890;57.8;Yes;Looted; 
Genesis Icerage, MM Edition (L);Melee;Longblades;7.0;106;30;36.8;0.011;2548;25.491;1.00;8000.00%;2.890;57.8;Yes;Looted; 
Genesis Icicle (L);Melee;Shortblades;5.0;53;66;40.5;12.785;0;12.785;140.00; ;2.881;57.1;Yes;Looted; 
Genesis Niflheim;Melee;Longblades;5.0;157;36;65.5;37.730;0;37.730;23168.00; ;2.892;57.9;Yes;Looted; 
Genesis Niflheim (L);Melee;Longblades;5.0;157;36;65.5;37.241;0;37.241;373.00; ;2.930;60.8;Yes;Looted; 
Genesis Power Claw Mk. 1 (L);Melee;Power Fist;4.0;37;62;26.6;8.807;0;8.807;112.50; ;2.920;60.0;Yes;Crafted; 
Genesis Power Claw Mk. 2 (L);Melee;Power Fist;4.0;42;64;31.1;9.947;0;9.947;125.00; ;2.935;61.1;Yes;Crafted; 
Genesis Power Claw Mk. 3 (L);Melee;Power Fist;4.0;49;68;38.6; ;0; ;149.00; ; ;61.2;Yes;Crafted; 
Genesis Power Claw Mk. 4 (L);Melee;Power Fist;4.0;52;71;42.8; ;0; ;161.00; ; ;60.1;Yes;Crafted; 
Genesis Power Claw Mk. 5 (L);Melee;Power Fist;4.0;57;76;50.2;13.577;0;13.577;188.00; ;2.918;59.9;Yes;Crafted; 
Genesis Power Claw Mk. 6 (L);Melee;Power Fist;4.0;60;79;54.9;14.257;0;14.257;251.00; ;2.925;60.4;Yes;Crafted; 
Genesis Power Claw Mk. 6, FEN Edition;Melee;Power Fist;4.0;61.5;87;62.0;12.840;0;12.840;700.00; ;3.329;85.4;Yes;FEN Token Trader; 
Genesis Prism of Destruction;Melee;Shortblades;4.0;121;51;71.5;29.000;0;29.000;26336.00; ;2.900;58.9;Yes;Looted; 
Genesis Prism Of Destruction (L);Melee;Shortblades;4.0;121;51;71.5; ;0; ;287.00; ; ;61.5;Yes;Looted; 
Genesis Rainbow Sword;Melee;Longblades;5.0;166;37;71.1;39.759;0;39.759;26336.00; ;2.902;58.7;Yes;Looted; 
Genesis Rainbow Sword (L);Melee;Longblades;5.0;166;37;71.1;39.243;0;39.243;393.00; ;2.940;61.6;Yes;Looted; 
Genesis Sparkbite (L);Melee;Longblades;7.0;179;27;56.0;42.510;0;42.510;320.00;120.00%;2.926;60.5;Yes;Looted; 
Genesis Sparkbite, E.L.M Edition (L);Melee;Longblades;7.0;179;27;56.0;0.015;4248;42.495;1.00;6000.00%;2.928;60.6;Yes;Looted; 
Genesis Sparkbite, MM Edition (L);Melee;Longblades;7.0;179;27;56.0;0.015;4248;42.495;1.00;1000.00%;2.928;60.6;Yes;Looted; 
Genesis Spitfire (L);Melee;Longblades;7.0;123;28;39.9;29.462;0;29.462;232.00; ;2.902;58.6;Yes;Looted; 
Genesis Star Battle Rifle;Rifle;Laser;104.5;1;7;0.1; ;3800; ; ; ; ;0.0;Yes;Crafted, Mission; 
Genesis Stingury;Melee;Shortblades;4.0;100;46;53.3;24.070;0;24.070;16832.00; ;2.887;57.6;Yes;Looted; 
Genesis Stingury (L);Melee;Shortblades;4.0;100;46;53.3;23.781;0;23.781;238.00; ;2.923;60.2;Yes;Looted; 
Genesis Sulfury;Melee;Longblades;5.0;135;34;53.2;32.443;0;32.443;16832.00; ;2.892;57.9;Yes;Looted; 
Genesis Sulfury (L);Melee;Longblades;5.0;135;34;53.2;32.022;0;32.022;320.00; ;2.930;60.8;Yes;Looted; 
Genesis Tesla Sword;Melee;Longblades;5.0;147;35;59.6;35.326;0;35.326;20000.00; ;2.892;57.9;Yes;Looted; 
Genesis Tesla Sword (L);Melee;Longblades;5.0;147;35;59.6;34.868;0;34.868;348.50; ;2.930;60.8;Yes;Looted; 
Genuine Design Clone GDC-97;Rifle;BLP;77.0;37;41;17.6;2.300;700;9.300;124.00; ;2.765;48.9;No;Crafted; 
GeoTrek AL15 Taurus (L);Carbine;Laser;63.8;62;37;26.6;3.011;1200;15.011;210.00;128.10%;2.871;56.4;Yes;Crafted; 
GeoTrek AL17 Auriga (L);Carbine;Laser;63.8;76;37;32.6;2.510;1600;18.510;250.00; ;2.854;55.1;Yes;Crafted; 
GeoTrek AL21 Canis;Carbine;Laser;59.4;85;38;37.4;3.989;1700;20.989;9704.00; ;2.815;52.3;Yes;Crafted; 
GeoTrek AL21 Canis (L);Carbine;Laser;59.4;85;38;37.4;3.657;1700;20.657;318.00; ;2.860;55.6;Yes;Crafted; 
GeoTrek AL22 Lupus (L);Carbine;Laser;60.5;91;39;41.1;4.190;1800;22.190;325.00; ;2.850;54.9;Yes;Crafted; 
GeoTrek AL24 Scorpius;Carbine;Laser;61.6;94;41;44.6;4.221;1900;23.221;12476.00; ;2.813;52.2;Yes;Crafted; 
GeoTrek AL24 Scorpius (L);Carbine;Laser;61.6;94;41;44.6;3.853;1900;22.853;335.00; ;2.859;55.5;Yes;Crafted; 
GeoTrek AL26 Serpentis (L);Carbine;Laser;61.6;114;41;54.1;4.749;2300;27.749;409.00;150.00%;2.855;55.2;Yes;Crafted; 
GeoTrek AL29 Felis (L);Carbine;Laser;61.6;150;37;64.3;7.407;2900;36.407;569.00;149.21%;2.863;55.8;Yes;Crafted; 
GeoTrek H8 Mean (L);Pistol;BLP;35.2;24;52;14.5; ;490; ;65.00; ; ;54.6;Yes;Crafted; 
GeoTrek H15 Vile (L);Pistol;BLP;35.2;35;56;22.7;1.420;710;8.520;122.00; ;2.855;55.6;Yes;Crafted; 
GeoTrek H21 Scrof;Pistol;Laser;27.5;44;53;27.0;1.713;900;10.713;7328.00;2500.00 PED;2.854;55.2;Yes;Crafted; 
GeoTrek H21 Scrof (L);Pistol;Laser;27.5;44;53;27.0;1.534;900;10.534;245.00;105.00%;2.903;58.8;Yes;Crafted; 
GeoTrek H23 Crista;Pistol;Laser;37.4;52;51;30.7;1.894;1100;12.894;8912.00; ;2.803;51.5;Yes;Crafted; 
GeoTrek H23 Crista (L);Pistol;Laser;37.4;52;51;30.7;1.680;1100;12.680;267.50; ;2.850;54.9;Yes;Crafted; 
GeoTrek H24 Sin (L);Pistol;BLP;36.3;48;58;32.2;1.950;967;11.620;192.00; ;2.871;56.4;Yes;Crafted; 
GeoTrek H25 Mikus (L);Pistol;Laser;30.8;55;50;31.9;2.233;1100;13.233;282.00; ;2.889;57.7;Yes;Crafted; 
GeoTrek H26 Elima (L);Pistol;Laser;31.9;63;51;37.2;2.211;1300;15.211;320.00; ;2.879;56.9;Yes;Crafted; 
GeoTrek H27 Vilitus (L);Pistol;Laser;33.0;71;49;40.3;2.034;1500;17.034;325.40;200.00%;2.897;58.3;Yes;Crafted; 
GeoTrek H28 Hokipus (L);Pistol;Laser;35.2;83;52;50.0;2.130;1800;20.130;388.00;140.00%;2.866;56.1;Yes;Crafted; 
GeoTrek H29 Wretched (L);Pistol;BLP;37.4;54;58;36.3;2.130;1094;13.070;202.00; ;2.871;56.4;Yes;Crafted; 
GeoTrek H30 Illum (L);Pistol;Laser;35.2;98;51;57.9;3.590;2000;23.590;503.00; ;2.887;57.6;Yes;Crafted; 
GeoTrek H33 Uti (L);Pistol;Laser;36.3;105;51;62.0;4.433;2100;25.433;621.00; ;2.869;56.3;Yes;Crafted; 
GeoTrek H35 Evil (L);Pistol;BLP;36.3;64;55;40.8;2.575;1293;15.505;215.00;133.00%;2.869;56.2;Yes;Crafted; 
GeoTrek H36 Saou (L);Pistol;Laser;34.1;117;51;69.1;4.186;2400;28.186;597.00; ;2.885;57.4;Yes;Crafted; 
GeoTrek H40 Brody;Pistol;BLP;29.7;36;48;20.0;1.819;700;8.819;4160.00; ;2.837;53.9;Yes;Crafted; 
GeoTrek H40 Brody (L);Pistol;BLP;29.7;36;48;20.0;1.679;700;8.679;123.00; ;2.883;57.3;Yes;Crafted; 
GeoTrek H41 Mina;Pistol;BLP;27.5;49;50;28.4;3.113;900;12.113;6536.00; ;2.811;52.1;Yes;Crafted; 
GeoTrek H41 Mina (L);Pistol;BLP;27.5;49;50;28.4;2.917;900;11.917;230.00; ;2.858;55.3;Yes;Crafted; 
GeoTrek H42 Demonic (L);Pistol;BLP;30.8;64;61;45.2;2.479;1290;15.379;235.00; ;2.892; ;Yes;Crafted; 
GeoTrek H45 Ortso (L);Pistol;BLP;30.8;60;54;37.5;3.725;1100;14.725;295.00;150.00%;2.832;53.6;Yes;Crafted; 
