Name;Class;Type;MF Level;Range;Weight;Damage;Impact Radius;Attacks;Reload;Dmg/sec;Power;Decay;Ammo;Cost;Max.TT;Min.TT;Markup;Eff.Markup;Total Uses;Cost/sec;Dmg/PEC;Efficiency;Stb;Cut;Imp;Pen;Shr;Brn;Cld;Acd;Elc;SIB;Amplifier;Ammo;Concentration;Cooldown;Cooldown Group;Hit Profession;Rec.;Maxed;Damage Profession;Rec.;Maxed;Source;Discovered;Found on;Personal effects
0x0F382C8C91E58C8B24DF;Pistol;Plasma; ;53.9;2.1;134; ;33;1.8;51.2;2760.8;8.121;2438;32.501;320.00;9.60;20004.00 PED;1.0;3823;17.88;2.865;56.0;0;0;0;0;0;121;0;13;0;Yes;Energy Amp;Weapon Cells; ; ; ;Plasma Pistoleer (Hit);40;45;Ranged Plasma (Dmg);40;45;Looted;11.4.5;Planet Calypso; 
0x0F382C8C91E58C82AA7 (L);Pistol;Plasma; ;66.0;2.1;75;0;24;2.5;20.9;1376.1;4.551;1364;18.191;94.00;2.82; ;1.0;2004;7.28;2.865;56.0;0;0;0;0;0;67;0;8;0;Yes;Energy Amp;Weapon Cells; ; ; ;Plasma Pistoleer (Hit);11;16;Ranged Plasma (Dmg);11;16;Crafted;;Planet Calypso; 
0x0F382C8C91E58C8273C0 (L);Pistol;Plasma; ;48.4;2.2;97;0;26;2.3;29.2;1413.9;5.111;1764;22.751;122.00;3.66; ;1.0;2316;9.86;2.963;56.0;0;0;0;0;0;87;0;10;0;Yes;Energy Amp;Weapon Cells; ; ; ;Plasma Pistoleer (Hit);17; ;Ranged Plasma (Dmg);17; ;Crafted;11.4.3;Planet Calypso; 
0x0F382C8C91E58C8460 (L);Pistol;Plasma; ;55.0;2.3;40; ;23;2.6;10.7;586.1;2.421;728;9.701;47.00;1.41;109.33%;1.0;1884;3.72;2.866;56.0;0;0;0;0;0;36;0;4;0;Yes;Energy Amp;Weapon Cells; ; ; ;Plasma Pistoleer (Hit);5; ;Ranged Plasma (Dmg);5; ;Looted;11.4.3;Planet Calypso; 
1 Star Stunna;Rifle;BLP; ;22.0;9;22; ;83;0.7;21.2;465.3;2.800;255;5.350;10.00;0.30; ;1.0;347;7.40;2.858;55.4;0;0;0;0;0;22;0;0;0;Yes; ;BLP Pack; ; ; ;BLP Sniper (Hit);10;12;Ranged BLP (Dmg);10;12;HUB Alpha;Planet Cyrene 2012.1;The Hub;Deceleration 100% duration 0.2 s
2.H.T.S. FlameThrower (L);Flamethrower;BLP; ;16.5;4;30; ;67;0.9;23.3;384.2;0.030;723;7.260;1.50;0.045;1400.00%;1.0;4851;8.11;2.872;56.5;0;0;0;0;0;30;0;0;0;Yes;BLP Amp;BLP Pack; ; ; ;BLP Sniper (Hit);12.5; ;Ranged BLP (Dmg);12.5; ;Terminal;;Planet Cyrene; 
2.H.T.S. Scorpion (L);Pistol;Laser; ;36.3;3;30;0;67;0.9;23.3;845.2;0.030;723;7.260;1.50;0.045;2250.00%;1.0;4851;8.11;2.872;56.5;0;0;0;30;0;0;0;0;0;Yes;Energy Amp;Weapon Cells; ; ; ;Laser Pistoleer (Hit);12.5; ;Ranged Laser (Dmg);12.5; ;Terminal;15.0.2;Planet Cyrene; 
2.H.T.S. Shotgun (L);Rifle;BLP; ;22.0;7;30;0;67;0.9;23.3;512.2;0.030;723;7.260;1.50;0.045;2150.00%;1.0;4851;8.11;2.872;56.5;0;0;30;0;0;0;0;0;0;Yes;BLP Amp;BLP Pack; ; ; ;BLP Sniper (Hit);12.5; ;Ranged BLP (Dmg);12.5; ;Terminal;15.1.0;Planet Cyrene; 
2 Star Stunna;Rifle;BLP; ;22.0;9;22; ;83;0.7;21.2;465.3;2.800;255;5.350;10.00;0.30; ;1.0;347;7.40;2.858;55.4;0;0;0;0;0;22;0;0;0;Yes; ;BLP Pack; ; ; ;BLP Sniper (Hit);10;12;Ranged BLP (Dmg);10;12;HUB Alpha;Planet Cyrene 2012.1;The Hub;Deceleration 100% duration 0.2 s
3 Star Stunna;Rifle;BLP; ;22.0;9;22; ;83;0.7;21.2;465.3;2.800;255;5.350;10.00;0.30; ;1.0;347;7.40;2.858;55.4;0;0;0;0;0;22;0;0;0;Yes; ;BLP Pack; ; ; ;BLP Sniper (Hit);10;12;Ranged BLP (Dmg);10;12;HUB Alpha;14.0.3;The Hub;Deceleration 100% duration 0.3 s
4 Star Stunna;Rifle;BLP; ;22.0;9;22; ;83;0.7;21.2;465.3;2.800;255;5.350;10.00;0.30; ;1.0;347;7.40;2.858;55.4;0;0;0;0;0;22;0;0;0;Yes; ;BLP Pack; ; ; ;BLP Sniper (Hit);10;12;Ranged BLP (Dmg);10;12;HUB Alpha;Planet Cyrene 2012.1;The Hub;Deceleration 100% duration 0.3 s
5 Star Stunna;Rifle;BLP; ;22.0;9;22; ;83;0.7;21.2;465.3;2.800;255;5.350;10.00;0.30; ;1.0;347;7.40;2.858;55.4;0;0;0;0;0;22;0;0;0;Yes; ;BLP Pack; ; ; ;BLP Sniper (Hit);10;12;Ranged BLP (Dmg);10;12;HUB Alpha;Planet Cyrene 2012.1;The Hub;Deceleration 100% duration 0.3 s
A-3 Justifier Mk. 1;Carbine;Laser; ;71.5;3.7;36;0;40;1.5;16.7;1192.6;0.890;800;8.890;78.00;2.34;150.00 PED;1.0;8502;5.93;2.814;52.3;0;0;0;3;0;33;0;0;0;No;Energy Amp;Weapon Cells; ; ; ;Laser Sniper (Hit);0;100;Ranged Laser (Dmg);0;100;Looted;;Planet Calypso; 
A-3 Justifier Mk. 1, Ancient;Carbine;Laser; ;99.0;3.7;36;0;40;1.5;16.7;1651.3;0.890;800;8.890;78.00;2.34; ;1.0;8502;5.93;2.814;52.3;0;0;0;3;0;33;0;0;0;No;Energy Amp;Weapon Cells; ; ; ;Laser Sniper (Hit);0;100;Ranged Laser (Dmg);0;100;Pregold;;Planet Calypso; 
A-3 Justifier Mk. 2;Carbine;Laser; ;71.5;3.8;43;0;40;1.5;19.9;1424.5;0.460;1000;10.460;85.00;2.55;125.00 PED;1.0;17924;6.97;2.857;55.4;0;0;0;4;0;39;0;0;0;No;Energy Amp;Weapon Cells; ; ; ;Laser Sniper (Hit);0;100;Ranged Laser (Dmg);0;100;Looted;;Planet Calypso; 
A-3 Justifier Mk. 2, Adjusted;Carbine;Laser; ;77.0;3.8;43; ;44;1.4;21.9;1687.5;0.396;1000;10.396;85.00;0.00; ;1.0;21465;7.62;2.875;56.7;0;0;0;4;0;39;0;0;0;Yes;Energy Amp;Weapon Cells; ; ; ;Laser Sniper (Hit);18;23;Ranged Laser (Dmg);18;23;Mission;;Planet Calypso; 
A-3 Justifier Mk. 2, Ancient;Carbine;Laser; ;110.0;3.8;43; ;40;1.5;19.9;2191.6;0.460;1000;10.460;85.00;2.55; ;1.0;17924;6.97;2.857;55.4;0;0;0;4;0;39;0;0;0;No;Energy Amp;Weapon Cells; ; ; ;Laser Sniper (Hit);0;100;Ranged Laser (Dmg);0;100;Pregold;;Planet Calypso; 
A-3 Justifier Mk. 2, Ancient, Improved;Carbine;Laser; ;160.0;3.9;72;0;67;0.9;55.9;8940.5;0.250;1500;15.250;1000.00;30.00;200000.00 PED;1.0;388000;17.03;3.281;90.5;0;0;0;6;0;66;0;0;0;No;Energy Amp;Weapon Cells; ; ; ;Laser Sniper (Hit);0;100;Ranged Laser (Dmg);0;100;Pregold;;Planet Calypso; 
A-3 Justifier Mk. 2, Improved;Carbine;Laser; ;104.5;3.9;72; ;60;1.0;50.0;5229.2;0.255;1500;15.255;1000.00;30.00;130000.00 PED;1.0;380393;15.26;3.280;90.4;0;0;0;6;0;66;0;0;0;No;Energy Amp;Weapon Cells; ; ; ;Laser Sniper (Hit);0;100;Ranged Laser (Dmg);0;100;Looted;;Planet Calypso; 
